epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0812,1.05403,1.97696,1.50809,0.47761,0.32877,0.34267,0.11733,1.90386,2.63333,2.4979,0.000275711,0.000275711,0.000275711
2,161.905,1.09585,1.11022,1.47425,0.84486,0.85074,0.9211,0.55976,1.228,1.12085,1.81095,0.000547899,0.000547899,0.000547899
3,244.37,1.06358,0.98775,1.44612,0.53563,0.53725,0.55834,0.2807,1.81116,2.19655,2.4063,0.00081459,0.00081459,0.00081459
4,326.657,1.03165,0.93274,1.42017,0.62661,0.62035,0.70829,0.38902,1.69764,1.41458,2.29691,0.00080826,0.00080826,0.00080826
5,408.867,0.97007,0.84785,1.36958,0.81084,0.87138,0.95047,0.6702,0.9655,0.8297,1.47022,0.000800013,0.000800013,0.000800013
6,491.753,0.93111,0.80364,1.34295,0.94806,0.96991,0.97174,0.70606,0.93131,0.62319,1.42161,0.000791767,0.000791767,0.000791767
7,574.502,0.91158,0.76326,1.33431,0.94467,0.93246,0.96884,0.71308,0.8709,0.62365,1.36625,0.00078352,0.00078352,0.00078352
8,657.161,0.88001,0.70957,1.30598,0.94172,0.96357,0.96636,0.71534,0.89502,0.60867,1.4251,0.000775273,0.000775273,0.000775273
9,740.033,0.85469,0.71069,1.29268,0.94626,0.953,0.96918,0.71871,0.89108,0.63953,1.41124,0.000767026,0.000767026,0.000767026
10,823.01,0.84213,0.6873,1.29073,0.93868,0.93417,0.96506,0.72224,0.88045,0.62281,1.37912,0.00075878,0.00075878,0.00075878
11,906.014,0.82486,0.66152,1.27435,0.95306,0.96188,0.97059,0.73919,0.86755,0.58938,1.38095,0.000750533,0.000750533,0.000750533
12,988.638,0.80982,0.65856,1.26536,0.95139,0.96826,0.96835,0.75285,0.78899,0.59421,1.3085,0.000742286,0.000742286,0.000742286
13,1071.58,0.79003,0.64613,1.24624,0.96582,0.96828,0.97477,0.76306,0.8197,0.52902,1.32283,0.00073404,0.00073404,0.00073404
14,1154.64,0.77368,0.62737,1.24107,0.95823,0.96262,0.97298,0.76589,0.76599,0.56882,1.27459,0.000725793,0.000725793,0.000725793
15,1237.69,0.77032,0.62996,1.23913,0.96286,0.96849,0.97018,0.75111,0.7878,0.53707,1.27368,0.000717546,0.000717546,0.000717546
16,1320.35,0.75858,0.61732,1.23068,0.96527,0.97017,0.97514,0.7785,0.75025,0.52022,1.25203,0.000709299,0.000709299,0.000709299
17,1403.41,0.74391,0.5931,1.22426,0.96741,0.97182,0.97563,0.76812,0.74991,0.49896,1.26655,0.000701053,0.000701053,0.000701053
