Celsius,Fahrenheit
65.5,149.9
13.389,56.1
-58.929,-74.072
51.97,125.546
-61.387,-78.497
-97.607,-143.693
55.225,131.405
-11.303,11.655
-17.615,0.293
-78.123,-108.621
50.744,123.339
41.199,106.158
54.891,130.804
-78.197,-108.755
-1.997,28.405
48.567,119.421
99.984,211.971
-94.329,-137.792
-14.27,6.314
-91.244,-132.239
-20.394,-4.709
61.078,141.94
44.831,112.696
-38.145,-36.661
40.286,104.515
-42.89,-45.202
-24.954,-12.917
-12.683,9.171
32.745,90.941
-21.049,-5.888
73.693,164.647
63.56,146.408
-66.3,-87.34
-17.189,1.06
80.665,177.197
59.266,138.679
-63.178,-81.72
-13.684,7.369
-64.093,-83.367
60.115,140.207
43.081,109.546
-48.627,-55.529
-79.95,-111.91
5.648,42.166
-39.076,-38.337
11.92,53.456
-83.613,-118.503
-27.788,-18.018
-33.339,-28.01
86.081,186.946
-1.112,29.998
97.103,206.785
75.6,168.08
98.048,208.486
94.712,202.482
16.082,60.948
-14.446,5.997
-56.534,-69.761
11.261,52.27
89.321,192.778
-38.844,-37.919
82.704,180.867
67.849,154.128
41.221,106.198
-45.853,-50.535
19.157,66.483
0.368,32.662
-11.979,10.438
22.09,71.762
-44.158,-47.484
-52.525,-62.545
11.49,52.682
-87.847,-126.125
36.162,97.092
-69.463,-93.033
65.943,150.697
-82.966,-117.339
25.166,77.299
-79.507,-111.113
-7.722,18.1
-46.513,-51.723
25.817,78.471
-16.162,2.908
84.4,183.92
-1.939,28.51
9.247,48.645
49.414,120.945
7.252,45.054
9.56,49.208
14.57,58.226
53.785,128.813
84.281,183.706
98.974,210.153
-62.196,-79.953
-91.725,-133.105
-27.628,-17.73
-42.401,-44.322
17.294,63.129
-76.872,-106.37
58.043,136.477
